dataAbscissa/Depth	Age	dataOrdinate/Value
108.63	24030.3	-1.609
108.68	24034.2	-1.562
108.73	24038.1	-1.337
108.8	24043.6	-0.911
108.82	24045.2	-1.41
108.83	24046	-1.445
108.88	24049.9	-1.191
108.93	24053.9	-1.347
108.98	24057.8	-1.333
109.02	24060.9	-1.29
109.03	24061.7	-1.129
109.08	24065.7	-1.224
109.13	24069.6	-1.22
109.18	24073.5	-1.305
109.19	24074.3	-1.46
109.21	24075.9	-1.4
109.23	24077.5	-1.4
109.28	24081.4	-1.685
109.33	24085.3	-1.411
109.38	24089.3	-1.367
109.39	24090	-1.4
109.43	24093.2	-1.473
109.48	24097.1	-1.528
109.53	24101.1	-1.723
109.58	24105	-1.519
109.63	24108.9	-1.256
109.68	24112.8	-1.221
109.73	24116.8	-1.476
109.77	24119.9	-1.52
109.78	24120.7	-1.551
109.8	24122.3	-1.45
109.83	24124.6	-1.806
109.88	24128.6	-1.502
109.93	24132.5	-1.411
109.96	24134.9	-1.61
109.98	24136.4	-1.557
110.03	24140.4	-1.503
110.13	24148.2	-1.603
110.18	24152.2	-1.38
110.23	24156.1	-1.82
110.3	24161.6	-1.327
110.33	24164	-1.711
110.35	24165.5	-1.36
110.38	24167.9	-1.385
110.44	24172.6	-1.64
110.48	24175.8	-1.578
110.53	24179.7	-1.641
110.58	24183.6	-1.505
110.63	24187.6	-1.419
110.68	24191.5	-0.974
110.73	24195.4	-0.997
110.8	24200.9	-1.422
110.82	24202.5	-1.38
110.83	24203.3	-1.28
110.93	24211.2	-1.184
110.98	24215.1	-1.227
111.03	24219	-1.4
111.08	24223	-1.374
111.13	24226.9	-1.716
111.18	24230.8	-1.63
111.2	24232.4	-1.75
111.23	24234.8	-1.573
111.27	24237.9	-1.769
111.28	24238.7	-2.046
111.29	24239.5	-1.75
111.32	24241.8	-1.4
111.33	24242.6	-1.96
111.38	24246.6	-1.704
111.39	24247.3	-1.406
111.42	24249.7	-1.63
111.43	24250.5	-1.495
111.47	24253.6	-1.349
111.48	24254.4	-1.469
111.53	24258.4	-1.412
111.54	24259.1	-1.385
111.58	24262.3	-1.336
111.62	24265.4	-1.53
111.63	24266.2	-1.519
111.68	24270.2	-1.682
111.69	24270.9	-1.751
111.73	24274.1	-1.257
111.75	24275.7	-1.208
111.8	24279.6	-1.309
111.81	24280.4	-1.38
111.82	24281.2	-1.38
111.84	24282.7	-1.553
111.85	24283.5	-1.488
111.9	24287.5	-1.816
111.95	24291.4	-1.511
112	24295.3	-1.455
112.01	24296.1	-1.569
112.02	24296.9	-1.41
112.05	24299.3	-1.317
112.06	24300	-1.475
112.1	24303.2	-1.117
112.12	24304.8	-1.491
112.15	24307.1	-1.129
112.17	24308.7	-1.338
112.2	24311.1	-1.383
112.22	24312.6	-1.36
112.23	24313.4	-1.165
112.25	24315	-1.309
112.28	24317.3	-1.63
112.3	24318.9	-1.539
112.34	24322.1	-1.367
112.35	24322.8	-1.658
112.39	24326	-1.951
112.4	24326.8	-1.674
112.45	24330.7	-1.389
112.5	24334.6	-1.534
112.55	24338.6	-1.279
112.56	24339.4	-1.493
112.6	24342.5	-1.531
112.61	24343.3	-1.489
112.65	24346.4	-1.457
112.7	24350.4	-1.93
112.75	24354.3	-1.408
112.8	24358.2	-1.696
112.82	24359.8	-1.547
112.85	24362.2	-1.29
112.9	24366.1	-1.573
112.95	24370	-1.483
113	24374	-1.304
113.05	24377.9	-1.395
113.1	24381.8	-1.052
113.15	24385.8	-1.214
113.2	24389.7	-1.207
113.25	24393.6	-1.184
